Description	
Number of Runs	23
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	650
Step Voltage	25
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	650	0	30	11/25/11 04:46:47 AM	
2	675	0	30	11/25/11 04:47:18 AM	
3	700	16	30	11/25/11 04:47:48 AM	
4	725	35	30	11/25/11 04:48:18 AM	
5	750	24	30	11/25/11 04:48:49 AM	
6	775	32	30	11/25/11 04:49:19 AM	
7	800	41	30	11/25/11 04:49:50 AM	
8	825	32	30	11/25/11 04:50:20 AM	
9	850	37	30	11/25/11 04:50:51 AM	
10	875	39	30	11/25/11 04:51:21 AM	
11	900	43	30	11/25/11 04:51:51 AM	
12	925	45	30	11/25/11 04:52:22 AM	
13	950	42	30	11/25/11 04:52:52 AM	
14	975	54	30	11/25/11 04:53:23 AM	
15	1000	31	30	11/25/11 04:53:54 AM	
16	1025	57	30	11/25/11 04:54:24 AM	
17	1050	55	30	11/25/11 04:54:54 AM	
18	1075	53	30	11/25/11 04:55:25 AM	
19	1100	70	30	11/25/11 04:55:55 AM	
20	1125	56	30	11/25/11 04:56:26 AM	
21	1150	38	30	11/25/11 04:56:56 AM	
22	1175	53	30	11/25/11 04:57:27 AM	
23	1200	56	30	11/25/11 04:57:57 AM	
