nombre,fecha,hora,temperatura,sens_termica,prob_precipitacion,cielo_normalizado,viento_velocidad,viento_direccion
Allande,2025-10-10,12,13,13,0,0.0,11,NE
Aller,2025-10-10,12,13,13,0,0.0,6,E
Amieva,2025-10-10,12,14,14,0,0.3,4,O
Avilés,2025-10-10,12,16,16,0,0.3,10,E
Belmonte de Miranda,2025-10-10,12,15,15,0,0.0,8,E
Bimenes,2025-10-10,12,14,14,0,0.3,12,E
Boal,2025-10-10,12,14,14,0,0.0,10,E
Cabrales,2025-10-10,12,15,15,0,0.0,11,NE
Cabranes,2025-10-10,12,14,14,0,0.3,9,E
Candamo,2025-10-10,12,16,16,0,0.3,9,E
Cangas de Onís,2025-10-10,12,15,15,0,0.3,6,NE
Cangas del Narcea,2025-10-10,12,14,14,0,0.0,10,NE
Caravia,2025-10-10,12,15,15,0,0.0,7,E
Carreño,2025-10-10,12,17,17,0,0.0,8,E
Caso,2025-10-10,12,14,14,0,0.0,4,NE
Castrillón,2025-10-10,12,16,16,0,0.3,12,E
Castropol,2025-10-10,12,18,18,0,0.0,28,E
Coaña,2025-10-10,12,17,17,0,0.0,23,E
Colunga,2025-10-10,12,17,17,0,0.3,11,E
Corvera de Asturias,2025-10-10,12,16,16,0,0.3,9,E
Cudillero,2025-10-10,12,16,16,0,0.3,12,E
Degaña,2025-10-10,12,15,15,0,0.0,2,NE
"Franco, El",2025-10-10,12,17,17,0,0.0,24,E
Gijón,2025-10-10,12,17,17,0,0.3,9,E
Gozón,2025-10-10,12,17,17,0,0.0,10,E
Grado,2025-10-10,12,16,16,0,0.3,7,E
Grandas de Salime,2025-10-10,12,14,14,0,0.0,7,N
Ibias,2025-10-10,12,17,17,0,0.0,10,N
Illano,2025-10-10,12,15,15,0,0.0,9,NE
Illas,2025-10-10,12,15,15,0,0.4,9,E
Langreo,2025-10-10,12,14,14,0,0.3,10,NE
Laviana,2025-10-10,12,15,15,0,0.0,6,E
Lena,2025-10-10,12,14,14,0,0.0,7,E
Llanera,2025-10-10,12,15,15,0,0.3,10,E
Llanes,2025-10-10,12,16,16,0,0.0,11,E
Mieres,2025-10-10,12,14,14,0,0.0,6,NE
Morcín,2025-10-10,12,14,14,0,0.3,6,E
Muros de Nalón,2025-10-10,12,16,16,0,0.3,12,E
Nava,2025-10-10,12,14,14,0,0.3,11,E
Navia,2025-10-10,12,17,17,0,0.0,23,E
Noreña,2025-10-10,12,15,15,0,0.3,12,E
Onís,2025-10-10,12,15,15,0,0.0,8,E
Oviedo,2025-10-10,12,14,14,0,0.3,12,E
Parres,2025-10-10,12,16,16,0,0.3,7,NE
Pesoz,2025-10-10,12,17,17,0,0.0,8,NE
Peñamellera Alta,2025-10-10,12,15,15,0,0.3,9,NE
Peñamellera Baja,2025-10-10,12,16,16,0,0.3,6,E
Piloña,2025-10-10,12,15,15,0,0.3,11,E
Ponga,2025-10-10,12,14,14,0,0.0,3,N
Pravia,2025-10-10,12,16,16,0,0.3,8,E
Proaza,2025-10-10,12,15,15,0,0.0,11,E
Quirós,2025-10-10,12,13,13,0,0.0,5,O
"Regueras, Las",2025-10-10,12,15,15,0,0.4,11,E
Ribadedeva,2025-10-10,12,15,15,0,0.3,5,SE
Ribadesella,2025-10-10,12,16,16,0,0.0,11,E
Ribera de Arriba,2025-10-10,12,15,15,0,0.3,12,E
Riosa,2025-10-10,12,14,14,0,0.3,7,E
Salas,2025-10-10,12,14,14,0,0.4,9,E
San Martín de Oscos,2025-10-10,12,13,13,0,0.0,12,NE
San Martín del Rey Aurelio,2025-10-10,12,14,14,0,0.0,10,NE
San Tirso de Abres,2025-10-10,12,17,17,0,0.0,13,NE
Santa Eulalia de Oscos,2025-10-10,12,15,15,0,0.0,9,E
Santo Adriano,2025-10-10,12,16,16,0,0.0,11,E
Sariego,2025-10-10,12,14,14,0,0.4,11,E
Siero,2025-10-10,12,15,15,0,0.3,13,E
Sobrescobio,2025-10-10,12,15,15,0,0.0,11,NE
Somiedo,2025-10-10,12,12,12,0,0.0,4,N
Soto del Barco,2025-10-10,12,16,16,0,0.3,8,E
Tapia de Casariego,2025-10-10,12,17,17,0,0.0,27,E
Taramundi,2025-10-10,12,16,16,0,0.0,11,NE
Teverga,2025-10-10,12,14,14,0,0.0,5,NE
Tineo,2025-10-10,12,12,12,0,0.0,21,E
Valdés,2025-10-10,12,17,17,0,0.3,14,E
Vegadeo,2025-10-10,12,18,18,0,0.0,20,E
Villanueva de Oscos,2025-10-10,12,13,13,0,0.0,13,E
Villaviciosa,2025-10-10,12,16,16,0,0.3,8,NE
Villayón,2025-10-10,12,14,14,0,0.0,9,E
Yernes y Tameza,2025-10-10,12,12,12,0,0.0,12,E
